u_id,tuition,in_state
129020,38340,0
129020,15672,1
129154,19988,0
129215,9706,0
129215,6470,1
129242,53630,0
129367,12552,0
129367,4176,1
129428,NULL,0
129491,14194,0
129525,42851,0
129534,9360,0
129543,12552,0
129543,4176,1
129695,12552,0
129695,4176,1
129729,12552,0
129729,4176,1
129756,12552,0
129756,4176,1
129774,35006,0
129808,12552,0
129808,4176,1
129941,42610,0
130004,12552,0
130004,4176,1
130040,12552,0
130040,4176,1
130110,22032,0
130174,15550,0
130183,15329,0
130217,12552,0
130217,4176,1
130226,49170,0
130253,46310,0
130314,41712,0
130396,12552,0
130396,4176,1
130493,19358,0
130493,6470,1
130590,61070,0
130606,12552,0
130606,4176,1
130624,NULL,0
130697,63722,0
130776,19358,0
130776,6464,1
130794,62250,0
130837,6400,0
130907,11438,0
130907,4575,1
130934,16960,0
130934,7038,1
130943,35890,0
130943,13370,1
130989,13050,0
131113,11970,0
131159,53070,0
131283,53040,0
131399,12144,0
131399,5292,1
131405,17088,0
131450,16512,0
131469,60856,0
131496,61872,0
131520,30584,0
131803,13320,0
131830,10900,0
131876,25360,0
131973,21060,0
132408,11550,0
132471,32000,0
132602,13844,0
132657,39800,0
132693,8399,0
132693,2048,1
132709,7402,0
132709,1968,1
132842,12084,0
132851,7947,0
132851,1987,1
132879,17384,0
132903,19810,0
132903,4478,1
132976,12000,0
132976,3000,1
133021,8195,0
133021,2365,1
133386,11960,0
133386,3072,1
133465,15300,0
133492,48220,0
133508,9750,0
133508,2436,1
133526,14878,0
133553,38976,0
133650,14524,0
133650,3152,1
133669,14374,0
133669,2522,1
133702,7947,0
133702,2095,1
133711,22910,0
133809,17060,0
133872,19440,0
133881,42770,0
133951,16529,0
133951,4721,1
133960,9933,0
133960,2483,1
133979,12576,0
134079,39700,0
134097,19084,0
134097,4640,1
134130,25694,0
134130,4477,1
134237,26307,0
134343,7065,0
134343,1750,1
134422,8985,0
134495,7728,0
134495,1931,1
134510,6298,0
134608,9360,0
134608,2496,1
134811,20700,0
134945,43520,0
135081,22048,0
135160,9473,0
135160,2369,1
135188,13276,0
135188,3292,1
135364,8448,0
135391,2365,0
