u_id,assoc,sport
191241,NCAA,MBA
191241,NCAA,MTR
191241,NCAA,WTR
191515,NCAA,MFB
191515,NCAA,MBB
191515,NCAA,WBB
191515,NCAA,MBA
191515,NCAA,MTR
191515,NCAA,WTR
191533,NCAA,MFB
191533,NCAA,MBB
191533,NCAA,WBB
191533,NCAA,MTR
191533,NCAA,WTR
191621,NCAA,MFB
191621,NCAA,MBB
191621,NCAA,WBB
191621,NCAA,MBA
191621,NCAA,MTR
191621,NCAA,WTR
191630,NCAA,MFB
191630,NCAA,MBB
191630,NCAA,WBB
191630,NCAA,MBA
191630,NCAA,MTR
191630,NCAA,WTR
191649,NCAA,MBB
191649,NCAA,WBB
191649,NCAA,MBA
191649,NCAA,MTR
191649,NCAA,WTR
191676,NCAA,MBB
191676,NCAA,WBB
191676,NCAA,MBA
191676,NCAA,MTR
191676,NCAA,WTR
191931,NCAA,MBB
191931,NCAA,WBB
191931,NCAA,MBA
191931,NCAA,MTR
191931,NCAA,WTR
191968,NCAA,MFB
191968,NCAA,MBB
191968,NCAA,WBB
191968,NCAA,MBA
191968,NCAA,MTR
191968,NCAA,WTR
192192,NCAA,MBB
192192,NCAA,WBB
192192,NCAA,MBA
192192,NCAA,MTR
192192,NCAA,WTR
192323,NCAA,MBB
192323,NCAA,WBB
192323,NCAA,MBA
192323,NCAA,MTR
192323,NCAA,WTR
192448,NCAA,MFB
192448,NCAA,MBB
192448,NCAA,WBB
192448,NCAA,MBA
192448,NCAA,MTR
192448,NCAA,WTR
192703,NCAA,MBB
192703,NCAA,WBB
192703,NCAA,MBA
192703,NCAA,MTR
192703,NCAA,WTR
192749,NCAA,MBB
192749,NCAA,WBB
192749,NCAA,MBA
192749,NCAA,MTR
192749,NCAA,WTR
192819,NCAA,MFB
192819,NCAA,MBB
192819,NCAA,WBB
192819,NCAA,MBA
192819,NCAA,MTR
192819,NCAA,WTR
192925,NCAA,MBB
192925,NCAA,WBB
192925,NCAA,MBA
192925,NCAA,MTR
192925,NCAA,WTR
193016,NCAA,MBB
193016,NCAA,WBB
193016,NCAA,MBA
193292,NCAA,MBB
193292,NCAA,WBB
193292,NCAA,MBA
193292,NCAA,MTR
193292,NCAA,WTR
193353,NCAA,MBB
193353,NCAA,WBB
193353,NCAA,MBA
193353,NCAA,MTR
193353,NCAA,WTR
193399,NCAA,MBB
193399,NCAA,WBB
193399,NCAA,MBA
193399,NCAA,MTR
193399,NCAA,WTR
193584,NCAA,MBB
193584,NCAA,WBB
193584,NCAA,MTR
193584,NCAA,WTR
193900,NCAA,MBB
193900,NCAA,WBB
193900,NCAA,MBA
193900,NCAA,MTR
193900,NCAA,WTR
193973,NCAA,MBB
193973,NCAA,WBB
193973,NCAA,MBA
193973,NCAA,MTR
193973,NCAA,WTR
194161,NCAA,MBB
194161,NCAA,WBB
194161,NCAA,MBA
194161,NCAA,MTR
194161,NCAA,WTR
194310,NCAA,MFB
194310,NCAA,MBB
194310,NCAA,WBB
194310,NCAA,MBA
194310,NCAA,MTR
194310,NCAA,WTR
194578,NCAA,MBB
194578,NCAA,WBB
194578,NCAA,MTR
194578,NCAA,WTR
194824,NCAA,MFB
194824,NCAA,MBB
194824,NCAA,WBB
194824,NCAA,MBA
194824,NCAA,MTR
194824,NCAA,WTR
194958,NCAA,MBB
194958,NCAA,WBB
194958,NCAA,MTR
194958,NCAA,WTR
195003,NCAA,MBB
195003,NCAA,WBB
195003,NCAA,MBA
195003,NCAA,MTR
195003,NCAA,WTR
195030,NCAA,MFB
195030,NCAA,MBB
195030,NCAA,WBB
195030,NCAA,MBA
195030,NCAA,MTR
195030,NCAA,WTR
195128,NCAA,MBB
195128,NCAA,WBB
195128,NCAA,MBA
195128,NCAA,MTR
195128,NCAA,WTR
195164,NCAA,MBB
195164,NCAA,WBB
195164,NCAA,MBA
195164,NCAA,MTR
195164,NCAA,WTR
195173,NCAA,MBB
195173,NCAA,WBB
195173,NCAA,MTR
195173,NCAA,WTR
195216,NCAA,MFB
195216,NCAA,MBB
195216,NCAA,WBB
195216,NCAA,MBA
195216,NCAA,MTR
195216,NCAA,WTR
195234,NCAA,MBB
195234,NCAA,WBB
195234,NCAA,MBA
195234,NCAA,MTR
195234,NCAA,WTR
195243,NCAA,MFB
195243,NCAA,MBB
195243,NCAA,WBB
195243,NCAA,MBA
195243,NCAA,MTR
195243,NCAA,WTR
195304,NCAA,MBB
195304,NCAA,WBB
195304,NCAA,MTR
195304,NCAA,WTR
195474,NCAA,MBB
195474,NCAA,WBB
195474,NCAA,MBA
195474,NCAA,MTR
195474,NCAA,WTR
195526,NCAA,MBB
195526,NCAA,WBB
195526,NCAA,MBA
195544,NCAA,MBB
195544,NCAA,WBB
195544,NCAA,MBA
195544,NCAA,MTR
195544,NCAA,WTR
195720,NCAA,MFB
195720,NCAA,MBB
195720,NCAA,WBB
195720,NCAA,MBA
195720,NCAA,MTR
195720,NCAA,WTR
195809,NCAA,MBB
195809,NCAA,WBB
195809,NCAA,MBA
195809,NCAA,MTR
195809,NCAA,WTR
196006,NCAA,MFB
196006,NCAA,MBB
196006,NCAA,WBB
196006,NCAA,MBA
196006,NCAA,MTR
196006,NCAA,WTR
196015,NCAA,MBB
196015,NCAA,WBB
196015,NCAA,MBA
196015,NCAA,MTR
196015,NCAA,WTR
196024,NCAA,MBB
196024,NCAA,WBB
196024,NCAA,MTR
196024,NCAA,WTR
196033,NCAA,MBB
196033,NCAA,WBB
196033,NCAA,MBA
196033,NCAA,MTR
196033,NCAA,WTR
196042,NCAA,MBB
196042,NCAA,WBB
196042,NCAA,MBA
196042,NCAA,MTR
196042,NCAA,WTR
196051,NCAA,MFB
196051,NCAA,MBB
196051,NCAA,WBB
196051,NCAA,MTR
196051,NCAA,WTR
196060,NCAA,MFB
196060,NCAA,MBB
196060,NCAA,WBB
196060,NCAA,MBA
196060,NCAA,MTR
196060,NCAA,WTR
196079,NCAA,MBB
196079,NCAA,WBB
196079,NCAA,MBA
196079,NCAA,MTR
196079,NCAA,WTR
196088,NCAA,MFB
196088,NCAA,MBB
196088,NCAA,WBB
196088,NCAA,MTR
196088,NCAA,WTR
196097,NCAA,MFB
196097,NCAA,MBB
196097,NCAA,WBB
196097,NCAA,MBA
196097,NCAA,MTR
196097,NCAA,WTR
196112,NCAA,MBB
196112,NCAA,WBB
196112,NCAA,MBA
196112,NCAA,MTR
196112,NCAA,WTR
196121,NCAA,MFB
196121,NCAA,MBB
196121,NCAA,WBB
196121,NCAA,MBA
196121,NCAA,MTR
196121,NCAA,WTR
196130,NCAA,MFB
196130,NCAA,MBB
196130,NCAA,WBB
196130,NCAA,MTR
196130,NCAA,WTR
196149,NCAA,MFB
196149,NCAA,MBB
196149,NCAA,WBB
196149,NCAA,MBA
196149,NCAA,MTR
196149,NCAA,WTR
196158,NCAA,MBB
196158,NCAA,WBB
196158,NCAA,MBA
196158,NCAA,MTR
196158,NCAA,WTR
196167,NCAA,MBB
196167,NCAA,WBB
196167,NCAA,MTR
196167,NCAA,WTR
196176,NCAA,MBB
